_id,sense_id,lemma,stem,definition,example,translation,pos_label
f54f711b-1139-4c81-977e-892c4501b77c,6577119956b2bd9112106dfc,مُسْتَقِرّ,"[""ق ر ر""]",ثابت‏.,فَلَمَّا رَآهُ (مُسْتَقِرًّا) عِندَهُ قَالَ هَٰذَا مِن فَضْلِ رَبِّي لِيَبْلُوَنِي أَأَشْكُرُ أَمْ أَكْفُرُ...,Established,صفة فاعل
efebba36-1511-49f6-aba2-22e22824fd3d,6577125056b2bd9112108346,تَكْرِيس,"[""ك ر س""]",المبدأ ونحوه: تأسيسه، وترسيخه.,الملتقى يهدف إلى (تَكْرِيس) مبدأ التخطيط وتوفير بيئة لتبادل الخبرات والنجاحات,Laying the foundation,اسم معنى
25a8aafb-5707-4928-9cca-655412f421b2,657713ab56b2bd911210b23c,نَشِيط,"[""ن ش ط""]",مجتهد‏، عكس (كسول).,حال ترد إلى التصا / بي كل كسلان (نشيطا),active,صفة مشبهة
712ec738-dba3-48f8-8937-8067c856cc99,6577197356b2bd9112117aed,حَداثَة,"[""ح د ث""]",مصطلح أُطلق على عدد من الحركات الفكريَّة الدَّاعية إلى التَّجديد والثَّائرة على القديم في الآداب الغربيّة، وكان لها صداها في الأدب العربيّ الحديث.,إن ما بين (الحداثة) الغربية والعربية من تباين وهوة لهو واضح فالغرب تعدَّى (الحداثة) وصار يجول في حقل ما بعد (الحداثة),Modernism,اسم معنى
77716c27-7a61-4e1e-9bc6-a7ce1e568347,6577138056b2bd911210ac6a,نُخْبَة,"[""ن خ ب""]",النخبة ما يختار وينتقى.,قال عميد كلية التربية ... خلال اللقاء التنويري لطلاب الدراسات العليا أمس إنهم حريصون على اختيار (النُّخْبَة) من الطلاب للالتحاق ببرنامج الماجستير.,elite,اسم ذات
6f013783-3f3d-4de8-958f-9b4f04f49ae8,6577094d56b2bd91120f5166,إِذْن,"[""ء ذ ن""]",استئذان، وطلب السماح بفعل أمر ما.,الَر كِتَابٌ أَنزَلْنَاهُ إِلَيْكَ لِتُخْرِجَ النَّاسَ مِنَ الظُّلُمَاتِ إِلَى النُّورِ (بِإِذْنِ) رَبِّهِمْ إِلَى صِرَاطِ الْعَزِيزِ الْحَمِيدِ,permission,اسم معنى
1f81b5ad-542e-4def-8714-2ecadb43fe47,65770a3856b2bd91120f7212,ثَقِيل,"[""ث ق ل""]",بغيض إلى النفس، كريه.,{إِنَّ هَؤُلَاءِ يُحِبُّونَ الْعَاجِلَةَ وَيَذَرُونَ وَرَاءَهُمْ يَوْمًا (ثَقِيلًا)},abhorrent,صفة مشبهة
eabfcaf7-12a8-47c0-bd7c-543db89426a0,65770f3456b2bd9112101e74,ضَعْف,"[""ض ع ف""]",وهن وهزال.,به وثقت نفسي الضعيفة بعدما/أضر بها من (ضعف) قوتها الوهن,Weakness,اسم معنى
eab628ad-0a57-464a-8274-5eda2911fca0,6577104156b2bd91121044c1,عُمْر,"[""ع م ر""]",الفترة التي يعيشها الكائن الحي منذ الولادة حتى الممات.,انقضى (العمر) بهم وكدر / والفتى رهن قضاء وقدر,Lifetime,اسم معنى
2803009f-86fd-4062-88a4-0f0ba9ec5001,657712d256b2bd9112109272,لَغَم,"[""ل غ م""]",كل ما يُحشَى بمواد متفجرة تنفجر عند مسه أو بالضغط عليه.,كانوا في الحرب العالمية الأولى يجعلون في (اللغم) المائي آلة بخارية,Mine,اسم ذات
76fdded0-1916-4c22-8d7a-4dca571f11ea,65770e8456b2bd911210066e,شِقّ,"[""ش ق ق""]",جانب، وشطر.,إن دور الناقد لا ينحصر في مجال النقد الأدبي والفني بل يشمل كذلك (شق) القنوات الثقافية والحضارية,Side,اسم ذات
69919885-304a-4463-b3eb-b6d9219e88d3,6577141f56b2bd911210c497,هُجُوم,"[""ه ج م""]",انقضاض ودخول فجأة دون ترقُّب على مكان أو شيء ما.,وَمِنَ النُّجُومِ أَسِنَّةٌ لِجُيُوشِهَا / مِنْ كُلِّ مُطَّلَعٍ عَلَيَّ (هجُومُ),attack,اسم معنى
2497a717-8664-432f-bf2f-35185be231af,657713f956b2bd911210be27,نَمُوذَج,"[""ن م ذ ج""]",مثال للعمل والتطبيق عليه., البرنامج يهدف للوصول إلى (نموذج) ناجح يمكن تطبيقه وتعميمه على جميع المدارس الثانوية.,sample,اسم ذات
0118c7e5-f102-42f1-b970-eb3fc76bb1ab,65770d7656b2bd91120fe534,سَبَب,"[""س ب ب""]",ما يؤدي إلى حدوث أمر، أو دافع .,وَيَسْأَلُونَكَ عَنْ ذِي الْقَرْنَيْنِ قُلْ سَأَتْلُو عَلَيْكُمْ مِنْهُ ذِكْرًا ، إِنَّا مَكَّنَّا لَهُ فِي الْأَرْضِ وَآتَيْنَاهُ مِنْ كُلِّ شَيْءٍ (سَبَبًا),cause,اسم معنى
bb4a3e83-56e7-45b8-94a0-5b7ab65abf27,65770e8b56b2bd911210076f,تَشْكِيل,"[""ش ك ل""]",تنويع‏.,منهم على (التشكيل) صورة آدم/	يدعو لجنس الخلق والبشرية,diversification,اسم معنى
69c74d1f-2ab8-4fcc-9dbf-975f95270a57,6577096e56b2bd91120f55e2,أَمَد,"[""ء م د""]",وقت، زمن.,{قُلْ إِنْ أَدْرِي أَقَرِيبٌ مَّا تُوعَدُونَ أَمْ يَجْعَلُ لَهُ رَبِّي (أَمَدًا)},time,اسم مبهم
21c9c941-1af2-402e-a433-06c0463cd553,6577105e56b2bd91121048ae,عُود,"[""ع و د""]",آلة موسيقية ذات صندوق عميق يتحذ شكل الكمثرى ويحوي أوتارًا يُعزف عليها فتصدر أصواتًا.,جَرَت نَغَمات (العود) فيهِ كانها / مياهٌ جرت في العود والعودُ أخضرُ,Lute,اسم آلة
5adfeea3-97ad-405b-b08d-b8a298cdaab2,65770f2056b2bd9112101b5b,ضَحِك,"[""ض ح ك""]",انفراج الشفتين عن الأسنان وإحداث أصوات متقطعة.,لو سكرت قنينة خـمره! / لو مات (الضحك) من الحسرة!,Laughing,اسم معنى
7201d72e-8af4-4903-b672-ef3ce8caebd4,65770f5e56b2bd9112102431,طَرْد,"[""ط ر د""]",إبعاد، نفْي.,طردت في الأرض من فردوس نعمائي/(طرد) التي غررت قدمًا بحواء,Driving away or out,اسم معنى
c5c18a5d-e461-4593-846b-e1f2ded6202e,65770c3e56b2bd91120fbe99,دَهْشَة,"[""د ه ش""]",حَيْرَة وذهول.,عرف الخط من أول نظرة فتأمله (بدهشة) وكأنه ينظر إلى وجه كاتبه في ضوء النهار,astonishment,اسم معنى
0c579631-f38e-4284-9927-56cecf851015,65770c6d56b2bd91120fc612,ذَوْق,"[""ذ و ق""]",إحدى الحواس الخمس المعروفة كاللمس والشم والنظر والسمع .,وظيفة حاسة (الذَّوْق) هي مساعدة الإنسان فىي تنظيم الأكل والمفاضلة بين أنواعه.,CLOTHING,اسم معنى
8a976b07-3785-458e-9392-973504d1f0f2,6577117656b2bd9112106981,قَتِيل,"[""ق ت ل""]",من قُتِل .,(وَقَتِيلُ) مُرَّةَ أَثْأَرَنَّ فَإِنَّهُ / فَرَغٌ وَإِنَّ أَخاكُمُ لَمْ يَثْأَرِ,Killed,صفة مفعول
24b32b35-4142-4c6f-8538-77b2c7c0af84,65770c4c56b2bd91120fc158,مُدَوَّنَة,"[""د و ن""]",أحد أنواع المواقع على شبكة الإنترنت يكتب صاحبها فيها آراءه وأفكاره.,لقد كانت (المدونات) الأولى محل الدراسة منصبة على النصوص السياسية والنصوص التأسيسية...,Blog,اسم معنى
8ec6c3fa-263f-4940-84bb-9d7c3f4f1e12,6577131a56b2bd9112109d7e,مُسْتَمِرّ,"[""م ر ر""]",دائِم دون انقطاع.,إنَّما أنتَ مُعْجِزٌ (مُستمرٌّ) / خارِقٌ للعقولِ والأفْكارِ,Continuous,صفة فاعل
65536469-7398-4a09-945b-48632e4e95f8,657714c656b2bd911210de3e,مَوْلُود,"[""و ل د""]",حديث الولادة .,بأجل (مولود) لأكرم والد / سمج مبارك مولد ميمونه,Baby,اسم ذات
c6b38f49-ab4a-4094-8716-ba541a55aa4a,6577148956b2bd911210d47e,سِمَة,"[""و س م""]",علامة، تأشيرة‏.,فمن مدلول الانطوائي - رجل التفكر والانبساطي - رجل الفعل نحو الرجل الذي يدرك نفسه في مكان ما في مجموعة (السمات) التالية : مفكر وجداني مولع بالكتب بسيط حساس عميق التفكير جدي تأملي دقيق استبطاني ذو توجه نحو الداخل لطيف هادئ متواضع,Mark,اسم معنى
470cef7d-6e1e-44ea-89a5-7e52472ada2c,657711ce56b2bd9112107535,مُنْقَطِع,"[""ق ط ع""]",غير مشابه لشيء، وغير مماثل له.,وَطَلقِ الوَجهِ وَضّاحِ الجَبينِ/ بَعيدِ الشِبهِ (مُنقَطِعِ) القَرينِ,unprecedented,صفة فاعل
b5247ed6-419f-4e16-8437-1dc75625b2e9,6577131256b2bd9112109c10,مُمْتَدّ,"[""م د د""]",واسع، وفسيح.,حكى فوق ( مُمتدِّ ) المَجَرّةِ شكلُها / قَواقعَ تطفو فوقَ لُجَّةِ وادِ,Extended,صفة فاعل
eb74ab73-2037-4a25-b233-5e7483522f00,65770efb56b2bd9112101600,مَصْلَحَة,"[""ص ل ح""]",شيء يعود بالخير أو المنفعة.,لا يُدرِكُ الحِكمَةَ مَن عُمرُهُ/ يَكدَحُ في (مَصلَحَةِ) الأَهلِ,Self-interest,اسم ذات
e3adec86-ec09-4009-b03a-dbad8879c31c,65770ee156b2bd91121012b0,صُعُود,"[""ص ع د""]",ارتقاء وطلوع‏.,لقد امتطيت من المعالي صهوة/أعيا بني الدنيا (صعود) صعودها,Rise,اسم معنى
ce0e3a56-09c4-4bad-9cc8-ad2ea142f87f,6577100e56b2bd9112103d4a,مُعْظَم,"[""ع ظ م""]",أغلب، وأكثر.,تناولت (معظم) الدراسات دور المكون النحوي والعلاقة بين المعنى الوضعي والمعنى الاكتسابي,Most,اسم معنى
5e720c4a-a333-4274-9a25-7f661850abaf,657714b856b2bd911210dbfd,مُتَوَقَّع,"[""و ق ع""]",مُرتقَب، ومُنتظَر‏.,ينتج عن هذه المعطيات الأولية تحول مهم (ومتوقع) لبنية المحكي,Expected,صفة مفعول
89f572e5-a92e-4228-9591-97e58a04fc2e,65770ad456b2bd91120f8c20,حَدّ,"[""ح د د""]",حاجز بين الشيئين.,السيف أصدق إنباءً من الكتبِ في حَدِّهِ (الحد) بين الجدِّ واللعبِ,separation,اسم ذات
3b8ae56c-090d-4f88-88a7-c92c43b13f09,657711c256b2bd91121073e1,قَضِيَّة,"[""ق ض ي""]",نزاع بين متخاصمَيْن يُعرَض على المحكمة للفصل فيه.,وانصرف فلما عاد صاحبه ارتاب في مجيء صاحبه وقلب أوراق الكتاب فرأى ما فعله فرفع عليه (قضية) حكمت له فيها جمعية الكتب بألفي جنيه تعويضاً,Litigation,اسم معنى
bc765284-3790-4e73-adc7-0a81621c8a37,6577114556b2bd9112106359,فِكْر,"[""ف ك ر""]",رأي أو نَظَر.,فقد كان أرسطو آخر ممثل للمرحلة الهيلينية في (الفكر) اليوناني,Opinion,اسم معنى
9ab26581-11e9-419f-bf5a-aff17864211c,65770b6a56b2bd91120fa0ce,مُحِيط,"[""ح و ط""]",قسم شاسع المساحة من سطح الكرة الأرضية تغمره المياه المالحة من كل جهة.,أن يدوم الغيث شهراً هكذا/ جاء بالطوفان والبحر و(المحيطِ)...,Ocean,اسم ذات
05be28f4-1e15-4fbd-9411-76ef04a36d2d,65770a4956b2bd91120f751a,جَبَل,"[""ج ب ل""]",ما علا من سطح الأرض وجاوز التلّ ارتفاعًا.,{لَوْ أَنزَلْنَا هَٰذَا الْقُرْآنَ عَلَىٰ (جَبَلٍ) لَّرَأَيْتَهُ خَاشِعًا مُّتَصَدِّعًا مِّنْ خَشْيَةِ اللَّهِ},mountain,اسم ذات
624c5173-38e2-49e9-9f14-71a36e73534a,65770b2f56b2bd91120f9945,حَكِيم,"[""ح ك م""]",سديد الرأي، متبصِّر.,لاَ يَزَالُ بُنْيَانُهُمُ الَّذِي بَنَوْاْ رِيبَةً فِي قُلُوبِهِمْ إِلاَّ أَن تَقَطَّعَ قُلُوبُهُمْ وَاللّهُ عَلِيمٌ (حَكِيمٌ),judicious,صفة مشبهة
586650d6-73bb-42bd-afac-b7ec463db067,657713bf56b2bd911210b4e4,مَنْطِق,"[""ن ط ق""]",لَفْظ،نُطْق‏.,يجب وضع إستراتيجية محكمة ومتواصلة  للدفاع عن الإسلام وقيمه السمحة واعتماد (مَنْطِق) عقلاني نافذ تقترن فيه الأقوال بالأفعال.,Speech,اسم معنى
c06c641e-5367-4abc-83b0-135338603fdf,6577147456b2bd911210d126,وُرُود,"[""و ر د""]",مجيء.,وهن يردن (ورود) القطا/عمان وقد سد مرانها,coming,اسم معنى
9d39cf12-5f32-441d-8a23-952b8eddd5e1,657711c756b2bd91121074ac,قَطْع,"[""ق ط ع""]",قَطْع الطريقِ: إخافة المارّة فيه بالتلصُّص، سَلْب ونَهْب العابرين والمسافرين.,جاؤوا بِراعيهِم لِيَتَّخِذوا بِهِ/ عَمداً إِلى (قَطعِ) الطَريقِ طَريقا...,Highway robbery,اسم معنى
aa0977cb-bf63-413d-b44d-5b4cb7ce90f7,65770a7156b2bd91120f7b0f,جَسَد,"[""ج س د""]",جسم الإنسان، ويطلق أيضا على  جثته بعد وفاته.,من توضأ فأحسن الوضوء خرجت خطاياه من (جسده) حتى تخرج من تحت أظفاره,body,اسم ذات
2361da6e-6e0d-41a0-87b7-12167ac0dcb2,65770e8156b2bd9112100624,مَشَقَّة,"[""ش ق ق""]",صعوبة، وشدة‏.,حججت إليه والهوى يشغل الذي / يحج إليه عن (مشقات) دربه,Hardship,اسم معنى
b40a3e5b-3ee6-4401-a7d8-634d85508cb0,657709a856b2bd91120f5dc6,بَدِيل,"[""ب د ل""]",بَدَل، عِوَض.,المنتخب الأوليمبي لا يستطيع أن يكون (بَدِيلًا) عن المنتخب الأول.,substitute,اسم ذات
3831584f-96e9-4933-8a3c-53481d7f169d,657711f756b2bd9112107914,إِقْلِيم,"[""ق ل م""]",منطقة تجمعها وحدة مناخية أو اقتصادية واجتماعية,أصبحت المدارس المقامة نماذج لكل المعاهد التي ستؤسس في (الإقليم) الإسلامي,region,اسم ذات
fd2a5bc3-585f-42f3-a0c6-f83068ca054b,65771a1556b2bd91121193e0,قَوْمِيَّة,"[""ق و م""]",حركة اجتماعية سياسية نشأت مع مفهوم الأمةفي عصر الثورات، ومن العناصر الأساسية في تكوين القومية وحدة اللغة ووحدة التاريخ.,#غيرمناسب,Nationalism,اسم معنى
6fdf5432-a976-4ee8-9ef5-c770750a9c4f,657710ed56b2bd9112105758,فَتْح,"[""ف ت ح""]",إزالة الإغلاق.,وآمنت في (فتح) العيون نواعسًا/إا بنيت تلك العيون على الكسر,Opening,اسم معنى
00a43f92-046b-47cf-8f9f-c509f890ed0e,65770ef656b2bd911210153d,صَكّ,"[""ص ك ك""]",الوجه ونحوه: لَطْمُه بشدة.,شغوب على الأدنى ولو (صك) أنفه/عدو بسيف أو عصا لم يشاغب,Slapping,اسم معنى
608717be-0fdb-4f75-bcee-fe1d179b4b6d,6577145f56b2bd911210cdf5,وُجُود,"[""و ج د""]",تيسر، توفر‏.,إن عملية التجديد تحتاج قبل كل شيء إلى (وجود) الأصل القابل للتحديث,availability,اسم معنى
fc80bac5-974f-4a0d-a213-1681e9642e28,65770e1e56b2bd91120ff8b5,تَسْوِيق,"[""س و ق""]",نَقْل البضائع من المُنتِج إلى المُستهلِك.,إن الهدف المركزي لصناع الصورة الإشهارية ومروجيها هو السعي نحو الربح عبر آليات (تسويق) البضائع,marketing,اسم معنى
20966371-5e21-41d8-ae29-a7d554e54eed,6577123c56b2bd91121080ba,كَتِيبَة,"[""ك ت ب""]",تشكيل عسكري مقسم إلى عدة سرايا.,(كتيبة) خضراء مهزومة / شقائق النعمان فيها جراح,Battalion,اسم ذات
3613e031-15c9-439e-a9dd-d521ec44dc9f,6577139d56b2bd911210b003,نَسِيج,"[""ن س ج""]",ما يُحاك ويُنسَج من قماش ونحوه.,  تطورت صناعة (النَّسِيج) في الدولة الأموية كثيراً وأصبحت لها مصانع خاصة بها سميت دور الطراز.,textile,اسم ذات
a7ab0e97-830c-41f1-b722-0dbfe086dc39,657710af56b2bd911210511b,تَغْطِيَة,"[""غ ط ي""]",سَتْرٌ، وإخفاء‏.,حاول	(تَغْطِيَة) وجهه لعدم ظهوره أمام الكاميرات.,covering,اسم معنى
f664052d-5ed1-45ec-b7eb-1696eefd1076,65770c7e56b2bd91120fc838,رِبْح,"[""ر ب ح""]",ما زاد على ثمن سلع التجارة على ثمنها الأول ذهبًا أو فضة أو غيرهما من العملات المتداولة.,تجارة أشتريها غير بائرة / تضاعف (الربح) أضعافا لشاريها,profit,اسم معنى
cac3a3a6-ebe6-47ba-9c3c-2a729ff7e1df,6577110156b2bd91121059fa,فَخْر,"[""ف خ ر""]",تَباهٍ.,ما مطلب (الفخر) من أيد منعّمة / رطيبة ونفوس ليس تحتدم,Pride,اسم معنى
